Date,Gold_IDR_gram,USDIDR,IHSG
2016-02-24,534054.5708751376,13410.0,4657.541015625
2016-02-25,532843.7747017392,13385.0,4658.14208984375
2016-02-26,526690.3935493343,13430.0,4732.96435546875
2016-02-29,532580.1864021344,13425.0,4770.7705078125
2016-03-01,528653.0503830081,13365.0,4779.79931640625
2016-03-02,528545.3494497831,13246.0,4836.00732421875
2016-03-03,535608.3052859618,13249.0,4843.85009765625
2016-03-04,536482.5926600151,13140.0,4850.69384765625
2016-03-07,529103.4437882291,13028.0,4831.38720703125
2016-03-08,527506.5405056404,13000.0,4810.85498046875
2016-03-09,532520.2719371853,13181.0,4810.85498046875
2016-03-10,535733.920619866,13100.0,4793.01611328125
2016-03-11,531346.3230468185,13130.0,4813.59130859375
2016-03-14,517828.2031279827,12943.0,4877.3408203125
2016-03-15,513466.08313837775,12980.0,4849.591796875
2016-03-16,518658.8178427343,13123.0,4861.251953125
2016-03-17,519159.0978507241,12770.0,4885.498046875
2016-03-18,521417.3206099569,12935.0,4885.51806640625
2016-03-21,521377.49888665567,13038.0,4884.97314453125
2016-03-22,529040.781786578,13183.0,4855.91796875
2016-03-23,515430.5161895842,13101.0,4853.98681640625
2016-03-24,518938.4256637303,13215.0,4826.8994140625
2016-03-25,518938.4256637303,13233.0,4826.8994140625
2016-03-28,516536.18793811643,13170.0,4773.4404296875
2016-03-29,527474.2866825302,13278.0,4781.111328125
2016-03-30,519894.62027673237,13180.0,4816.46728515625
2016-03-31,525368.7640785,13240.0,4845.18212890625
2016-04-01,517038.49912452075,13158.0,4842.9970703125
2016-04-04,514047.80812448764,13127.0,4849.98681640625
2016-04-05,518950.4821258309,13140.0,4857.8828125
2016-04-06,519209.2529779607,13210.0,4868.04052734375
2016-04-07,523517.4741375066,13172.0,4867.095703125
2016-04-08,526185.4775186072,13172.0,4846.51513671875
2016-04-11,529895.9878990834,13115.0,4786.78759765625
2016-04-12,530224.6795280965,13095.0,4829.38525390625
2016-04-13,524038.03553716064,13073.0,4852.81591796875
2016-04-14,517711.0293053837,13145.0,4814.65869140625
2016-04-15,522204.66759104177,13172.0,4823.38037109375
2016-04-18,520750.644764845,13130.0,4865.34521484375
2016-04-19,527892.7451894481,13104.0,4881.740234375
2016-04-20,527251.7421201844,13086.0,4876.40625
2016-04-21,528697.2205700323,13166.0,4902.89892578125
2016-04-22,520341.3042530885,13172.0,4914.54541015625
2016-04-25,525577.0515261483,13195.0,4878.671875
2016-04-26,526777.2873135508,13190.0,4813.9052734375
2016-04-27,528540.8830974608,13160.0,4845.46923828125
2016-04-28,535234.0572604369,13155.0,4848.201171875
2016-04-29,545879.510567415,13170.0,4838.39453125
2016-05-02,548416.4758528607,13175.0,4808.1318359375
2016-05-03,543402.3778865949,13095.0,4812.0771484375
2016-05-04,539761.1569051337,13185.0,4822.40771484375
2016-05-05,545700.3335935742,13350.0,4822.40771484375
2016-05-09,541583.2840371286,13310.0,4749.13037109375
2016-05-10,543578.3955692097,13377.0,4762.9296875
2016-05-11,544942.867373183,13298.0,4799.77685546875
2016-05-12,541021.581070496,13247.0,4803.134765625
2016-05-13,542030.1517066696,13255.0,4761.529296875
2016-05-16,545821.824729959,13332.0,4731.37744140625
2016-05-17,546529.5979426552,13320.0,4728.9716796875
2016-05-18,545377.078132912,13318.0,4734.17236328125
2016-05-19,541745.3451860447,13435.0,4704.03369140625
2016-05-20,547410.3664188654,13595.0,4711.69482421875
2016-05-23,547244.3669634182,13605.0,4743.4775390625
2016-05-24,534965.7218823093,13540.0,4710.60205078125
2016-05-25,533795.0712942273,13570.0,4772.79150390625
2016-05-26,533802.3202460635,13608.0,4784.37841796875
2016-05-27,528743.6096121743,13549.0,4814.54345703125
